시/군/구,동,번지,호,상세주소,우편번호,위도,경도,시설,개통년도,시설속도,고장문의,PSTN,인터넷,TV,VoIP
서울특별시 서초구,반포동,91,3,우면프라임 591동 1265호,06504,37.502,126.9981,FTTH,2019,1G,4,,,O,
서울특별시 서초구,서초동,1470,4,신원로얄 857동 2595호,06690,37.4963,127.0215,Ntopia,2019,1G,7,,,O,O
서울특별시 서초구,우면동,789-27-1,9,현대아파트 269동 530호,06762,37.4699,127.0256,FTTH,2024,1G,15,,,O,
서울특별시 서초구,신원동,375,1,반포리체 9층,06765,37.4672,127.0485,FTTH,2020,1G,8,O,,O,
서울특별시 서초구,내곡동,676,3,서초타워 7층,06800,37.4542,127.0458,Ntopia,2018,1G,5,,O,,O
서울특별시 서초구,서초동,1344-25-5,7,반포리체 814동 205호,06690,37.4946,127.02,Ntopia,2024,100M,15,O,O,O,O
서울특별시 서초구,양재동,210-28,7,방배그랑시티 768동 178호,06747,37.4755,127.0391,FTTH,2020,100M,6,,,O,O
서울특별시 서초구,서초동,1365-1-1,1,양재스퀘어 832동 2324호,06690,37.4952,127.029,FTTH,2019,100M,3,O,,O,O
서울특별시 서초구,서초동,1337-13-5,9,잠원롯데캐슬 371동 1975호,06690,37.4949,127.0207,Ntopia,2017,500M,1,,,,
서울특별시 서초구,서초동,1424-27-3,2,반포자이 28층,06690,37.4966,127.0221,FTTH,2017,500M,6,,O,,O
서울특별시 서초구,서초동,1433,1,래미안 리더스원 135동 2501호,06690,37.4971,127.0223,Ntopia,2024,100M,15,O,O,O,
서울특별시 서초구,잠원동,85-8-2,3,신원센트럴 20층,06510,37.5135,127.0085,FTTH,2016,500M,9,O,O,,O
서울특별시 서초구,신원동,389,3,신원센트럴 396동 2895호,06765,37.4676,127.0417,LAN,2020,100M,10,O,O,O,O
서울특별시 서초구,서초동,1446,9,방배센트럴파크 23층,06690,37.4915,127.0286,FTTH,2018,500M,2,O,,,O
서울특별시 서초구,서초동,1328,9,방배로얄 3층,06690,37.4987,127.0203,FTTH,2025,1G,11,O,,O,O
서울특별시 서초구,서초동,1334,1,래미안 리더스원 26층,06690,37.4946,127.0204,FTTH,2022,1G,15,O,O,,
서울특별시 서초구,염곡동,199-6,8,양재타워 8층,06766,37.4634,127.0389,FTTH,2016,1G,1,O,O,,O
서울특별시 서초구,내곡동,682,3,강남오피스텔 29층,06800,37.4524,127.0499,Ntopia,2018,500M,12,O,O,O,
서울특별시 서초구,서초동,1446,5,강남오피스텔 795동 1198호,06690,37.4986,127.0218,FTTH,2021,1G,13,,,O,O
서울특별시 서초구,반포동,50,7,롯데캐슬 프레지던트 675동 476호,06504,37.5066,126.9942,FTTH,2016,1G,15,,O,O,O
서울특별시 서초구,서초동,1488,8,반포자이 28층,06690,37.4982,127.0238,Ntopia,2017,100M,10,,O,O,O
서울특별시 서초구,서초동,1342,1,강남오피스텔 27층,06690,37.4907,127.0216,FTTH,2024,1G,6,,O,,
서울특별시 서초구,내곡동,622-18-3,9,염곡힐스테이트 553동 2206호,06800,37.4576,127.0499,LAN,2015,1G,4,O,O,,
서울특별시 서초구,반포동,73-22,10,반포힐탑 622동 2583호,06504,37.5029,126.9911,Ntopia,2019,500M,9,O,,,O
서울특별시 서초구,반포동,72,5,방배센트럴파크 15층,06504,37.5052,126.9988,Ntopia,2024,100M,8,O,O,,O
서울특별시 서초구,서초동,1456,8,반포힐탑 119동 2538호,06690,37.4996,127.0252,FTTH,2024,100M,3,,O,O,O
서울특별시 서초구,서초동,1352,2,현대아파트 25층,06690,37.4946,127.0279,Ntopia,2024,500M,12,,,,O
서울특별시 서초구,서초동,1494,4,반포리체 612동 291호,06690,37.4982,127.0256,Ntopia,2019,100M,8,,O,O,O
서울특별시 서초구,신원동,318,7,신원로얄 180동 1675호,06765,37.4631,127.0467,Ntopia,2024,500M,7,O,O,O,O
서울특별시 서초구,서초동,1409,6,양재스퀘어 198동 939호,06690,37.4922,127.0257,Ntopia,2022,100M,6,O,,O,
서울특별시 서초구,잠원동,141,4,내곡그린 3층,06510,37.5199,127.0006,LAN,2018,100M,6,O,,O,
서울특별시 서초구,서초동,1476-8,7,래미안 리더스원 4층,06690,37.4962,127.0235,Ntopia,2020,500M,8,,,O,O
서울특별시 서초구,우면동,761,1,잠원롯데캐슬 6층,06762,37.4633,127.0273,FTTH,2016,100M,14,,O,O,O
서울특별시 서초구,서초동,1417,4,서초그랑자이 18층,06690,37.4994,127.0222,FTTH,2022,100M,9,,O,O,
서울특별시 서초구,염곡동,104,8,방배그랑시티 16층,06766,37.4658,127.0378,FTTH,2017,1G,12,O,O,,
서울특별시 서초구,양재동,320,5,반포센트럴 3층,06747,37.4731,127.0315,FTTH,2020,500M,8,O,O,,
서울특별시 서초구,서초동,1466,2,양재파크뷰 256동 120호,06690,37.498,127.0254,Ntopia,2016,500M,4,O,O,O,O
서울특별시 서초구,서초동,1456,3,양재파크뷰 242동 992호,06690,37.4974,127.0209,Ntopia,2016,100M,8,O,O,,
서울특별시 서초구,서초동,1482-4-5,8,방배센트럴파크 18층,06690,37.4964,127.028,Ntopia,2016,1G,9,,O,,O
서울특별시 서초구,신원동,400-18-3,2,방배아트자이 13층,06765,37.4611,127.0476,Ntopia,2016,1G,1,O,O,O,
서울특별시 서초구,서초동,1412,3,양재타워 883동 2116호,06690,37.4905,127.022,FTTH,2025,500M,9,,O,,
서울특별시 서초구,염곡동,121,6,서초타워 784동 2842호,06766,37.4637,127.0342,Ntopia,2016,1G,7,O,O,,
서울특별시 서초구,잠원동,134,1,서초빌딩 126동 729호,06510,37.5131,127.003,FTTH,2021,500M,7,,O,O,
서울특별시 서초구,잠원동,57,9,방배아트자이 8층,06510,37.5174,127.0017,Ntopia,2015,100M,12,O,O,O,
서울특별시 서초구,서초동,1349-1,6,신원센트럴 517동 260호,06690,37.4966,127.0269,LAN,2015,1G,9,O,,O,
서울특별시 서초구,내곡동,636-20,5,방배센트럴파크 699동 2015호,06800,37.4507,127.0453,Ntopia,2020,1G,12,O,O,O,O
서울특별시 서초구,서초동,1481,8,내곡그린 186동 2423호,06690,37.4976,127.027,FTTH,2021,100M,7,O,O,,
서울특별시 서초구,서초동,1341,2,방배그랑시티 131동 1381호,06690,37.498,127.0236,FTTH,2025,1G,10,,O,O,O
서울특별시 서초구,서초동,1406-21,2,서초파크자이 306동 1222호,06690,37.4913,127.0244,Ntopia,2016,1G,10,,,,
서울특별시 서초구,서초동,1399,3,래미안 리더스원 355동 109호,06690,37.497,127.0261,FTTH,2021,10G,2,,O,O,O
서울특별시 서초구,서초동,1466,9,신원센트럴 30층,06690,37.491,127.0262,LAN,2025,500M,15,O,,,
서울특별시 서초구,서초동,1377,9,서초빌딩 8층,06690,37.4926,127.0237,FTTH,2023,1G,8,,O,,O
서울특별시 서초구,염곡동,194-4,10,서초프라임 21층,06766,37.4671,127.0328,Ntopia,2015,500M,5,O,O,O,O
서울특별시 서초구,서초동,1421-23-5,3,신원센트럴 13층,06690,37.4955,127.0296,LAN,2024,1G,0,,,O,
서울특별시 서초구,서초동,1316-28,10,방배아트자이 724동 947호,06690,37.496,127.0258,FTTH,2018,500M,5,,O,O,O
서울특별시 서초구,서초동,1378,7,염곡파인힐 25층,06690,37.4929,127.0201,FTTH,2020,500M,5,O,,,O
서울특별시 서초구,반포동,58,4,양재파크뷰 8층,06504,37.5061,126.9939,FTTH,2020,100M,11,,O,,O
서울특별시 서초구,서초동,1377,1,강남오피스텔 26층,06690,37.5,127.0236,FTTH,2017,1G,13,O,O,O,O
서울특별시 서초구,서초동,1427,2,방배아트자이 867동 229호,06690,37.4992,127.0293,Ntopia,2020,1G,12,O,O,O,O
서울특별시 서초구,반포동,24-2,10,서초힐스 18층,06504,37.5039,126.9985,FTTH,2025,1G,9,,,O,O
서울특별시 서초구,방배동,811,1,방배센트럴파크 20층,06692,37.4839,126.9947,Ntopia,2017,500M,11,O,,,O
서울특별시 서초구,양재동,220,10,서초프라임 1층,06747,37.474,127.0389,FTTH,2017,100M,12,O,O,,O
서울특별시 서초구,내곡동,626-25,6,우면스카이 476동 1983호,06800,37.4541,127.0415,Ntopia,2017,100M,6,O,O,,O
서울특별시 서초구,서초동,1362-4-2,5,우면스카이 528동 2042호,06690,37.4931,127.0209,FTTH,2017,10G,0,O,O,O,O
서울특별시 서초구,염곡동,114,10,래미안 리더스원 24층,06766,37.4645,127.0307,FTTH,2024,100M,14,,,O,O
서울특별시 서초구,서초동,1328,4,롯데캐슬 프레지던트 3층,06690,37.4942,127.0283,Ntopia,2017,1G,9,,O,O,O
서울특별시 서초구,서초동,1420,9,서초힐스 528동 240호,06690,37.4959,127.0252,FTTH,2015,500M,15,,O,,O
서울특별시 서초구,염곡동,118,7,양재스퀘어 714동 1173호,06766,37.4616,127.0394,Ntopia,2021,500M,8,O,O,O,O
서울특별시 서초구,서초동,1424,8,서초프라임 650동 1306호,06690,37.4965,127.026,LAN,2022,500M,8,O,,,
서울특별시 서초구,서초동,1348,8,방배그랑시티 344동 1226호,06690,37.4963,127.0238,FTTH,2025,500M,3,,,,O
서울특별시 서초구,서초동,1404,2,내곡그린 29층,06690,37.4901,127.024,Ntopia,2019,500M,3,,O,,
서울특별시 서초구,방배동,883,1,방배그랑시티 4층,06692,37.4825,126.9993,LAN,2020,1G,8,,O,O,
서울특별시 서초구,방배동,875,9,염곡힐스테이트 326동 1641호,06692,37.4824,126.9932,Ntopia,2023,1G,5,,,O,
서울특별시 서초구,서초동,1356,10,삼성아파트 12층,06690,37.4901,127.0243,FTTH,2023,10G,3,O,O,O,
서울특별시 서초구,반포동,88,2,서초힐스 417동 1176호,06504,37.5079,126.99,Ntopia,2022,1G,14,O,,,O
서울특별시 서초구,서초동,1311,8,서초프라임 183동 1696호,06690,37.497,127.0297,FTTH,2015,500M,1,,,O,O
서울특별시 서초구,방배동,891-8,6,양재스퀘어 21층,06692,37.484,126.9985,Ntopia,2018,100M,8,O,,O,O
서울특별시 서초구,서초동,1398,5,방배그랑시티 3층,06690,37.4947,127.0295,LAN,2019,100M,1,,O,O,O
서울특별시 서초구,서초동,1406,2,신원로얄 9층,06690,37.4996,127.0292,Ntopia,2025,500M,0,,O,,O
서울특별시 서초구,반포동,69-14,6,서초로얄맨션 803동 2568호,06504,37.5022,126.9976,Ntopia,2020,10G,15,O,O,,
서울특별시 서초구,서초동,1337-10,7,반포센트럴 543동 2296호,06690,37.499,127.0242,FTTH,2017,100M,3,O,O,O,O
서울특별시 서초구,내곡동,622-10-4,2,서초힐스 855동 897호,06800,37.4511,127.0432,FTTH,2024,10G,2,O,O,O,
서울특별시 서초구,서초동,1409-19-1,7,내곡휴먼빌 727동 1873호,06690,37.4991,127.0267,Ntopia,2015,500M,3,O,,,
서울특별시 서초구,염곡동,135-10,6,내곡그린 17층,06766,37.4617,127.0311,FTTH,2015,1G,2,O,,O,O
서울특별시 서초구,내곡동,639,5,반포센트럴 148동 1620호,06800,37.4589,127.0458,Ntopia,2025,100M,11,,O,O,O
서울특별시 서초구,서초동,1492,3,서초타워 314동 2706호,06690,37.4958,127.0276,FTTH,2022,500M,11,O,O,O,O
서울특별시 서초구,서초동,1356,7,잠원파크빌 364동 2863호,06690,37.4901,127.0261,Ntopia,2018,1G,15,,O,O,
서울특별시 서초구,서초동,1478,10,서초힐스 24층,06690,37.4959,127.0202,FTTH,2021,500M,0,O,O,O,O
서울특별시 서초구,잠원동,144-11,8,우면프라임 625동 1390호,06510,37.5126,127.0064,Ntopia,2017,100M,11,,,O,
서울특별시 서초구,반포동,73,5,염곡파인힐 603동 868호,06504,37.503,126.997,Ntopia,2017,500M,7,O,O,O,
서울특별시 서초구,서초동,1348,2,서초프라임 361동 2745호,06690,37.4926,127.0271,LAN,2015,500M,15,,,,
서울특별시 서초구,신원동,371,5,염곡파인힐 9층,06765,37.4646,127.0413,FTTH,2025,1G,2,O,,,O
서울특별시 서초구,서초동,1474,8,삼성아파트 3층,06690,37.4972,127.0243,FTTH,2023,1G,8,O,O,O,O
서울특별시 서초구,서초동,1468,2,우면스카이 11층,06690,37.4984,127.0214,Ntopia,2024,1G,8,O,O,,
서울특별시 서초구,서초동,1406,5,염곡파인힐 22층,06690,37.4938,127.0204,Ntopia,2021,1G,4,,O,O,
서울특별시 서초구,양재동,222,2,우면프라임 11층,06747,37.4774,127.0388,LAN,2015,1G,4,O,O,,O
서울특별시 서초구,서초동,1378,6,래미안 리더스원 4층,06690,37.4978,127.0236,Ntopia,2021,1G,6,,,,
서울특별시 서초구,염곡동,198,9,삼성아파트 16층,06766,37.4614,127.032,Ntopia,2023,500M,10,O,O,O,O
서울특별시 서초구,서초동,1326,3,내곡그린 448동 2725호,06690,37.4958,127.0211,FTTH,2019,500M,9,,O,O,O
서울특별시 서초구,서초동,1483,2,내곡그린 642동 2255호,06690,37.4947,127.0257,FTTH,2024,500M,12,O,O,O,
